,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
985,cockpit,https://github.com/cockpit-project/cockpit,C,GNU Lesser General Public License v2.1,5436,87,0,160,3,32.8,40,524,384,2.2,666,0.6873199999999999,angular
989,vega,https://github.com/vega/vega,JavaScript,"BSD 3-Clause ""New"" or ""Revised"" License",8908,96,0,107,9,10.3,19,138,96,1.1,2556,0.68715,angular
992,stencil,https://github.com/ionic-team/stencil,TypeScript,Other,8733,47,0,157,8,15.9,43,212,133,1.8,936,0.68683,angular
998,css-loader,https://github.com/webpack-contrib/css-loader,JavaScript,MIT License,3907,107,2,104,8,2.1,15,50,38,3.3,21778,0.68648,angular
1003,graphiql,https://github.com/graphql/graphiql,TypeScript,MIT License,11573,66,0,178,8,6.1,198,78,54,2.4,1405,0.6862,angular
1004,grpc-gateway,https://github.com/grpc-ecosystem/grpc-gateway,Go,"BSD 3-Clause ""New"" or ""Revised"" License",9997,70,0,227,7,10.1,23,190,168,1.8,663,0.6862,angular
1005,wine,https://github.com/wine-mirror/wine,C,Other,1519,335,0,2134,2,160.2,25,1,1,2.0,294,0.68619,angular
1006,nock,https://github.com/nock/nock,JavaScript,MIT License,10181,113,1,270,10,2.3,23,65,43,1.3,3622,0.6859999999999999,angular
1009,google-api-nodejs-client,https://github.com/googleapis/google-api-nodejs-client,TypeScript,Apache License 2.0,9060,95,0,141,6,25.5,24,353,314,0.8,944,0.68565,angular
1012,keepalived,https://github.com/acassen/keepalived,C,GNU General Public License v2.0,2475,138,0,142,7,10.8,11,89,83,2.9,948,0.6855,angular
1016,tarantool,https://github.com/tarantool/tarantool,Lua,Other,2515,126,0,140,5,17.2,17,713,174,0.6,2622,0.6854100000000001,angular
1023,v,https://github.com/vlang/v,V,MIT License,21353,23,0,368,5,99.1,15,1527,1145,1.6,134,0.68486,angular
1033,dayjs,https://github.com/iamkun/dayjs,JavaScript,MIT License,33087,33,0,232,6,3.8,29,280,182,2.7,1944,0.6843199999999999,angular
1037,webpack.js.org,https://github.com/webpack/webpack.js.org,JavaScript,Creative Commons Attribution 4.0 International,1928,55,0,1058,10,10.8,2,402,351,2.2,98,0.68412,angular
1040,Vulkan-ValidationLayers,https://github.com/KhronosGroup/Vulkan-ValidationLayers,C++,Other,259,79,0,246,4,25.0,7,302,251,2.0,1298,0.68407,angular
1041,linux,https://github.com/beagleboard/linux,C,Other,528,192,5,5000,10,0.4,113,9,3,1.8,985,0.68396,angular
1047,loopback-next,https://github.com/strongloop/loopback-next,TypeScript,Other,3328,49,0,183,7,40.7,1233,784,469,1.2,224,0.6835,angular
1058,grpc-java,https://github.com/grpc/grpc-java,Java,Apache License 2.0,8268,74,0,238,3,13.1,19,340,281,1.8,1963,0.6826399999999999,angular
1059,node-sass,https://github.com/sass/node-sass,C++,MIT License,7546,109,0,209,7,1.0,4,110,73,2.0,11826,0.6826,angular
1070,vant,https://github.com/youzan/vant,JavaScript,MIT License,16386,49,0,171,4,48.8,65,659,644,1.8,374,0.68198,angular
1073,socket.io,https://github.com/socketio/socket.io,JavaScript,MIT License,52145,132,0,176,9,1.6,11,108,66,2.4,1752,0.68152,angular
1074,aks-engine,https://github.com/Azure/aks-engine,Go,MIT License,809,57,0,339,7,16.9,27,313,261,2.4,89,0.68138,angular
1076,jquery,https://github.com/jquery/jquery,JavaScript,MIT License,54384,180,1,328,7,1.3,1,40,28,1.8,67506,0.68132,eslint
1078,pgjdbc,https://github.com/pgjdbc/pgjdbc,Java,"BSD 2-Clause ""Simplified"" License",905,285,0,235,7,3.7,6,190,54,2.2,1992,0.6812199999999999,angular
1092,common-voice,https://github.com/mozilla/common-voice,TypeScript,Mozilla Public License 2.0,2629,45,0,768,5,63.5,19,98,58,1.7,140,0.6806,eslint
1096,ant-design-pro,https://github.com/ant-design/ant-design-pro,TypeScript,MIT License,27666,41,0,273,5,4.1,5,627,565,2.3,3666,0.68048,angular
1106,js-ipfs,https://github.com/ipfs/js-ipfs,JavaScript,Other,4879,81,1,223,8,10.9,182,238,159,1.6,689,0.68002,angular
1111,vega-lite,https://github.com/vega/vega-lite,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",3080,75,0,154,7,17.4,36,292,240,1.0,689,0.6797300000000001,angular
1115,platform,https://github.com/ngrx/platform,TypeScript,Other,6569,48,0,308,10,5.6,16,174,129,2.1,410,0.67942,angular
1126,dom-testing-library,https://github.com/testing-library/dom-testing-library,JavaScript,MIT License,2421,34,0,150,9,4.4,109,101,70,4.0,942,0.67881,angular
1128,pyinstaller,https://github.com/pyinstaller/pyinstaller,Python,Other,7550,187,0,387,4,7.9,3,414,303,2.6,804,0.67869,angular
1137,incubator-echarts,https://github.com/apache/incubator-echarts,TypeScript,Apache License 2.0,44342,94,0,144,4,22.4,12,1008,544,1.6,751,0.6782,angular
1138,vlc,https://github.com/videolan/vlc,C,Other,6983,261,1,924,7,71.1,2,3,3,0.7,4973,0.67809,angular
1157,react-testing-library,https://github.com/testing-library/react-testing-library,JavaScript,MIT License,13510,34,1,155,9,2.1,37,94,88,3.3,4766,0.67698,angular
1159,scoop-extras,https://github.com/lukesampson/scoop-extras,PowerShell,The Unlicense,942,91,0,537,5,169.4,0,663,483,1.1,233,0.67691,angular
1161,freeipa,https://github.com/freeipa/freeipa,Python,Other,502,165,0,186,5,17.7,10,302,266,3.3,189,0.67675,angular
1162,prisma,https://github.com/prisma/prisma,TypeScript,Apache License 2.0,7254,21,0,113,4,49.3,49,1219,669,1.3,1990,0.67674,angular
1169,hexo,https://github.com/hexojs/hexo,JavaScript,MIT License,31946,101,0,174,7,4.7,8,114,74,1.3,4651,0.67637,angular
1170,javascript,https://github.com/airbnb/javascript,JavaScript,MIT License,103452,100,0,511,4,1.3,12,66,58,1.2,8042,0.67637,ember
1175,libreswan,https://github.com/libreswan/libreswan,C,Other,535,186,0,183,5,51.2,17,34,20,3.0,314,0.67611,angular
1183,dpdk,https://github.com/DPDK/dpdk,C,,1145,96,1,998,5,105.2,19,1,1,1.0,1415,0.67592,angular
1184,jsii,https://github.com/aws/jsii,TypeScript,Apache License 2.0,987,40,0,53,6,17.6,26,324,282,2.0,3250,0.67592,angular
1187,pipelines,https://github.com/kubeflow/pipelines,Python,Apache License 2.0,1940,33,0,202,2,19.5,26,679,323,3.4,1438,0.67566,angular
1193,ionic-native,https://github.com/ionic-team/ionic-native,TypeScript,Other,2038,63,1,664,10,3.6,16,100,52,0.8,1591,0.6752100000000001,angular
1201,pacemaker,https://github.com/ClusterLabs/pacemaker,C,Other,785,212,0,148,5,22.4,12,89,86,1.9,1036,0.67487,eslint
1202,react-navigation,https://github.com/react-navigation/react-navigation,TypeScript,,19196,48,1,97,7,11.2,635,553,396,2.4,1362,0.67487,angular
1204,node-gyp,https://github.com/nodejs/node-gyp,Python,MIT License,7113,109,0,171,9,0.9,14,124,84,2.0,1797,0.67477,angular
1206,node-mongodb-native,https://github.com/mongodb/node-mongodb-native,JavaScript,Apache License 2.0,8830,134,1,408,7,5.6,17,138,128,0.4,2499,0.67473,angular
