,conventional_commits,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention
214,181,jest-dom,https://github.com/testing-library/jest-dom,JavaScript,MIT License,2130,34,0,73,10,1.4,25,42,30,2.9,12981,0.67409,angular
215,175,google-auth-library-python,https://github.com/googleapis/google-auth-library-python,Python,Apache License 2.0,384,53,0,68,9,2.1,31,88,74,0.7,1160,0.61575,angular
216,166,coveragepy,https://github.com/nedbat/coveragepy,Python,Apache License 2.0,1466,144,0,103,8,3.9,6,90,46,1.6,2761,0.65591,angular
217,157,husky,https://github.com/typicode/husky,Shell,Other,21370,80,1,67,10,2.4,24,124,91,2.1,22102,0.69525,angular
218,149,webpack-merge,https://github.com/survivejs/webpack-merge,TypeScript,MIT License,2293,68,1,31,9,2.9,16,25,24,3.9,7945,0.64251,angular
219,146,cordova-android,https://github.com/apache/cordova-android,Java,Apache License 2.0,3105,149,1,238,10,1.6,11,84,46,2.4,246,0.6381899999999999,angular
220,111,fabric.js,https://github.com/fabricjs/fabric.js,JavaScript,Other,17610,129,0,257,3,2.5,24,212,149,2.5,58,0.61575,angular
221,103,sendgrid-nodejs,https://github.com/sendgrid/sendgrid-nodejs,JavaScript,MIT License,2260,110,0,183,10,2.5,19,64,50,1.9,298,0.65542,angular
222,81,agenda,https://github.com/agenda/agenda,JavaScript,Other,7121,88,0,116,11,1.9,2,135,99,1.4,2254,0.6383800000000001,angular
223,73,sendgrid-python,https://github.com/sendgrid/sendgrid-python,Python,MIT License,1083,108,0,194,6,2.0,19,40,26,1.9,152,0.61219,angular
